           1   6.69921050E-03
           2   2.13143937E-02
           3   2.25734897E-02
           4   2.86455490E-02
           5   3.30951363E-02
           6   3.39461565E-02
           7   4.30444367E-02
           8   4.05209213E-02
           9   4.01156470E-02
          10   2.70191133E-02
          11   1.69266462E-02
          12   6.44991733E-03
          13   1.62498653E-02
          14   2.66945120E-02
          15   4.19699214E-02
          16   3.42817642E-02
          17   3.98632884E-02
          18   2.94759367E-02
          19   2.52330974E-02
          20   4.20920039E-03
          21   1.19676730E-02
          22   4.45833150E-03
          23   2.09528226E-02
          24   3.95196266E-02
          25   3.99328060E-02
          26   6.73430087E-03
          27   4.35038656E-02
          28   1.48238922E-02
          29   3.06635853E-02
          30   3.92234176E-02
          31   1.38512226E-02
          32   4.73456690E-03
          33   4.31468198E-03
          34   3.88292968E-03
          35   3.22370231E-03
          36   2.83980439E-03
          37   4.88162190E-02
          38   4.54380661E-02
          39   4.35982421E-02
          40   1.67300776E-02
          41   5.57324430E-03
          42   7.34579517E-03
          43   7.35916104E-03
          44   7.76783144E-03
          45   7.25218840E-03
          46   2.31335289E-03
          47   3.91452154E-03
          48   6.42219558E-03
          49   1.11146299E-02
          50   3.38864559E-03
          51   2.05338327E-03
          52   2.19974131E-03
          53   1.57846287E-02
          54   1.93752465E-03
          55   5.59907500E-03
          56   7.16297235E-03
          57   7.39796506E-03
          58   4.64219367E-03
          59   8.36727768E-03
          60   1.05258254E-02
          61   6.38412079E-03
          62   6.50307909E-03
          63   7.29957270E-03
          64   7.55201373E-03
          65   3.04388441E-03
          66   9.04677808E-03
          67   1.53854499E-02
          68   9.93302092E-03
          69   5.87481540E-03
          70   7.31544476E-03
          71   1.28777241E-02
          72   9.80557222E-03
          73   4.12052264E-03
          74   1.32517121E-03
          75   5.40008163E-03
          76   4.41559497E-03
          77   1.36695085E-02
          78   2.04183417E-03
          79   3.80453351E-03
          80   3.67749389E-03
